City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
240,Kamyshevatskaya,RU,46.4132,37.9563,42.6,76,61,14.76,broken clouds
241,Pevek,RU,69.7008,170.3133,-27.98,97,99,6.44,overcast clouds
242,Tessalit,ML,20.1986,1.0114,77.86,7,31,7.92,scattered clouds
243,Mudgee,AU,-32.5943,149.5871,55.45,76,3,4.61,clear sky
244,Malanje,AO,-9.5402,16.341,70.07,89,86,2.24,light rain
245,Provideniya,RU,64.3833,-173.3,-6.79,80,99,9.4,overcast clouds
246,Kodiak,US,57.79,-152.4072,18.91,42,20,29.93,few clouds
247,Hualmay,PE,-11.0964,-77.6139,72.09,73,53,12.33,broken clouds
248,Lac Du Bonnet,CA,50.2536,-96.0612,13.59,77,59,8.95,broken clouds
249,Vondrozo,MG,-22.8167,47.2833,70.48,88,89,5.28,overcast clouds
250,Saint George,US,37.1041,-113.5841,36.07,58,1,1.01,light snow
251,Saint-Georges,GD,12.0564,-61.7485,87.48,62,20,14.97,few clouds
252,Sal Rei,CV,16.1833,-22.9167,77.56,69,20,19.57,few clouds
253,Kundiawa,PG,-6.0167,144.9667,63.48,99,100,0.13,moderate rain
254,Celestun,MX,20.8667,-90.4,83.84,62,9,4.27,clear sky
255,Skjervoy,NO,70.0311,20.9714,21.2,60,30,8.1,scattered clouds
256,Lebu,CL,-37.6167,-73.65,58.15,62,91,4.45,overcast clouds
257,Novyy Urengoy,RU,66.0833,76.6333,-4.61,97,100,13.67,overcast clouds
258,Talara,PE,-4.5772,-81.2719,79.56,65,75,20.71,broken clouds
259,Sinnamary,GF,5.3833,-52.95,82.17,77,96,9.15,overcast clouds
260,Tawau,MY,4.2498,117.8871,77.13,94,100,3.0,overcast clouds
261,Hobyo,SO,5.3505,48.5268,78.82,76,15,16.58,few clouds
262,Rio Grande,BR,-32.035,-52.0986,78.91,64,36,11.48,scattered clouds
263,Mareeba,AU,-17.0,145.4333,74.12,93,96,2.62,overcast clouds
264,Upington,ZA,-28.4478,21.2561,97.18,5,20,11.5,few clouds
265,Port Elizabeth,ZA,-33.918,25.5701,68.09,88,75,12.66,broken clouds
266,Udachnyy,RU,66.4167,112.4,-35.55,81,95,2.46,overcast clouds
267,Abalak,RU,58.1286,68.5944,7.02,95,16,6.67,few clouds
268,Muros,ES,42.7762,-9.0603,59.99,89,54,3.24,broken clouds
269,Tarrafal,CV,15.2833,-23.7667,79.59,68,79,14.85,broken clouds
270,Piacabucu,BR,-10.4056,-36.4344,85.95,56,18,14.38,few clouds
271,Seoul,KR,37.5683,126.9778,40.44,93,75,1.14,mist
272,Hered,HU,47.7064,19.6331,36.77,88,100,7.67,overcast clouds
273,Victoria,HK,22.2855,114.1577,69.94,84,1,8.01,clear sky
274,Pisco,PE,-13.7,-76.2167,71.65,73,75,6.91,broken clouds
275,Marawi,PH,7.9986,124.2928,68.65,96,89,1.48,overcast clouds
276,Khasan,RU,42.4308,130.6434,33.93,72,18,12.62,few clouds
277,Ambalavao,MG,-21.8333,46.9333,68.56,84,67,7.99,broken clouds
278,Tikrit,IQ,34.6071,43.6782,57.4,38,3,8.77,clear sky
279,Volga,RU,57.9516,38.3879,7.83,90,73,7.23,broken clouds
280,Gorontalo,ID,0.5412,123.0595,76.14,96,100,3.94,overcast clouds
281,Katobu,ID,-4.9408,122.5276,77.7,88,85,4.07,overcast clouds
282,Tura,IN,25.5198,90.2201,56.97,54,0,3.02,clear sky
283,Mackay,AU,-21.15,149.2,74.05,94,40,5.75,scattered clouds
284,Vardo,NO,70.3705,31.1107,28.8,80,68,15.1,broken clouds
285,Vanavara,RU,60.34,102.2797,3.63,96,100,8.16,light snow
286,Port Blair,IN,11.6667,92.75,80.58,75,82,12.1,broken clouds
287,Itoman,JP,26.1247,127.6694,68.02,68,20,5.75,few clouds
288,Alberton,CA,46.8168,-64.0654,32.13,89,95,11.48,overcast clouds
289,Las Navas,PH,12.3392,125.0313,76.62,97,89,5.5,overcast clouds
290,Ashqelon,IL,31.6693,34.5715,68.41,51,5,5.59,clear sky
291,Zeya,RU,53.75,127.2667,6.44,81,100,3.67,overcast clouds
292,Saint-Augustin,CA,51.226,-58.6502,25.07,54,32,10.0,scattered clouds
293,La Tuque,CA,47.4334,-72.7824,25.05,93,100,2.3,snow
294,Narsaq,GL,60.9167,-46.05,25.02,82,100,3.11,overcast clouds
295,Chuy,UY,-33.6971,-53.4616,74.52,54,14,11.1,few clouds
296,Svetlogorsk,BY,52.6333,29.7333,39.38,88,100,13.11,overcast clouds
297,Vadgaon,IN,20.9402,74.8712,74.5,52,0,7.49,clear sky
298,Bathsheba,BB,13.2167,-59.5167,84.81,70,75,21.85,broken clouds
299,Kargasok,RU,59.0556,80.8572,5.0,95,87,8.66,overcast clouds
300,Khrebtovaya,RU,56.7032,104.2494,7.75,94,100,9.15,light snow
301,Nanortalik,GL,60.1432,-45.2371,27.66,81,100,24.18,overcast clouds
302,Cavalcante,BR,-13.7975,-47.4583,77.77,80,100,3.11,light rain
303,Lazurne,UA,46.084,32.5295,47.01,87,88,10.94,overcast clouds
304,Bilma,NE,18.6853,12.9164,70.92,9,21,7.18,few clouds
305,Gold Coast,AU,-28.0,153.4333,71.17,88,90,4.0,overcast clouds
306,Koulamoutou,GA,-1.1303,12.4736,76.46,91,100,2.46,light rain
307,Qaqortoq,GL,60.7167,-46.0333,25.3,84,100,0.2,overcast clouds
308,Cockburn Town,TC,21.4612,-71.1419,80.38,73,1,21.36,clear sky
309,Umm Lajj,SA,25.0213,37.2685,77.43,51,100,1.43,overcast clouds
310,Togur,RU,58.3631,82.8265,3.79,100,99,5.84,overcast clouds
311,Yulara,AU,-25.2406,130.9889,80.44,19,39,8.05,scattered clouds
312,Awbari,LY,26.5921,12.7805,60.12,26,100,4.59,overcast clouds
313,Channel-Port Aux Basques,CA,47.5702,-59.1367,37.69,75,100,10.04,overcast clouds
314,Male,MV,4.1748,73.5089,82.35,83,75,12.66,light rain
315,Airai,TL,-8.9266,125.4092,62.55,93,99,0.78,overcast clouds
316,Biloela,AU,-24.4167,150.5,68.43,78,10,7.05,clear sky
317,Hay River,CA,60.8156,-115.7999,4.98,78,75,9.22,snow
318,Samoylovka,RU,51.184,43.7081,26.47,62,2,7.43,clear sky
319,Pedernales,DO,18.0384,-71.744,84.45,55,0,7.45,clear sky
320,Genhe,CN,50.7833,121.5167,-9.31,100,60,2.84,broken clouds
321,Curup,ID,-3.4667,102.5333,68.65,98,100,1.7,light rain
322,Dunedin,NZ,-45.8742,170.5036,49.8,62,30,5.99,scattered clouds
323,Peleduy,RU,59.6289,112.7406,-16.08,100,95,3.29,overcast clouds
324,Flinders,AU,-34.5833,150.8552,61.18,85,95,12.28,overcast clouds
325,Grindavik,IS,63.8424,-22.4338,43.27,87,75,23.02,broken clouds
326,Solnechnyy,RU,50.7214,136.6319,15.58,95,100,2.48,light snow
327,La Palma,US,33.8464,-118.0467,61.9,50,1,1.01,clear sky
328,Huanren,CN,41.2647,125.3667,24.4,65,62,6.78,broken clouds
329,Athabasca,CA,54.7169,-113.2854,30.61,84,87,7.54,overcast clouds
330,Zhanaozen,KZ,43.3,52.8,36.63,83,8,8.03,clear sky
331,Kachiry,KZ,53.0675,76.1036,9.19,91,98,3.22,overcast clouds
332,Anadyr,RU,64.75,177.4833,-25.1,75,0,8.95,clear sky
333,Bubaque,GW,11.2833,-15.8333,81.43,68,70,12.41,broken clouds
334,Tilichiki,RU,60.4667,166.1,-13.68,83,3,9.31,clear sky
335,Asfi,MA,32.2994,-9.2372,64.56,74,0,18.77,clear sky
336,Sabang,ID,5.8933,95.3214,82.29,76,23,19.46,few clouds
337,Lachi,PK,33.3833,71.3386,50.54,24,20,1.66,few clouds
338,Santa,PH,17.486,120.4348,73.83,78,15,6.33,few clouds
339,Asmara,ER,15.3333,38.9333,52.75,79,5,5.23,clear sky
340,Thompson,CA,55.7435,-97.8558,-11.04,84,20,5.75,few clouds
341,Oranjemund,NA,-28.55,16.4333,65.01,77,0,11.95,clear sky
342,Jiayuguan,CN,39.8167,98.3,22.17,54,0,5.61,clear sky
343,Comarapa,BO,-17.9,-64.4833,70.2,69,81,6.51,broken clouds
344,Havre-Saint-Pierre,CA,50.2334,-63.5986,27.19,68,1,6.91,clear sky
